field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
노인요양시설 선산실버타운,"요양원,요양센터",경북 구미시 선산읍 선상동로 104,생곡리 839-1,39107,정,경상북도 구미시 선산읍 생곡리 839-1,128.32087302165502,36.270199731668846
포도나무실버타운,"요양원,요양센터",서울 송파구 가락로 2 금송빌딩,석촌동 221 금송빌딩 6층,05693,정,서울특별시 송파구 석촌동 221,127.0970182074189,37.49767980443269
효누리실버타운,"요양원,요양센터",경북 김천시 농소면 남곡3길 43-33 효누리실버타운,월곡리 1184 효누리실버타운,,정,경상북도 김천시 농소면 월곡리 1184,128.16503241053715,36.11495575737087
산청한방실버타운,"요양원,요양센터",경남 산청군 금서면 친환경로 2016 산청성모노인전문요양원,평촌리 289,52230,정,경상남도 산청군 금서면 평촌리 289,127.8480221196544,35.405006079077054
강북실버타운,"요양원,요양센터",대구 북구 칠곡중앙대로 525,읍내동 1206-4,41442,정,대구광역시 북구 읍내동 1206-4,128.5504161493934,35.942574261932606
금상실버타운,"요양원,요양센터",경북 칠곡군 동명면 남원로 459-1,남원리 222-3,39855,정,제주특별자치도 서귀포시 남원읍 남원리 222-3,126.72023378489249,33.283238939557236
혜민실버타운요양원,"요양원,요양센터",서울 광진구 자양로13길 13,자양동 627,05056,정,서울특별시 광진구 자양동 627,127.08323861465435,37.53537263535406
아름다운동행 실버타운,"요양원,요양센터",경북 상주시 내서면 북장1길 93-3 북장1길 89,북장리 213-2 북장1길 89,,정,경상북도 상주시 북장1길 89 (내서면),128.06652530129819,36.426379618084624
포천부모님실버타운,"요양원,요양센터",경기 포천시 내촌면 금강로3029번길 3,신팔리 410,11188,정,경기도 포천시 내촌면 신팔리 410,127.26751073734525,37.83344590472482
옥곡실버타운,"요양원,요양센터",경북 경산시 옥실길24길 13,옥곡동 612,38691,정,경상북도 경산시 옥곡동 612,128.73274821652498,35.805114243586786
강변늘푸른타운,아파트,경북 안동시 축제장1길 55 강변늘푸른타운,운흥동 346,36706,정,경상북도 안동시 운흥동 346,128.72858494581828,36.560974195440394
성은실버타운,"요양원,요양센터",경남 거창군 거창읍 거창대로 55 성은주상복합빌딩,대동리 931-3,50138,정,전북특별자치도 김제시 만경읍 대동리 931-3,126.84475704353663,35.84200099486961
노인요양시설조아재활전문실버타운,"요양원,요양센터",경북 구미시 봉곡북로 46 2층,봉곡동 185-3 2층,39208,정,경상북도 구미시 봉곡동 185-3,128.30893153870605,36.154060893392455
매그너스레지덴샬 실버타운 요양원,"요양원,요양센터",경기 남양주시 수동면 지둔로445번길 33-46 매그너스레지덴샬,지둔리 278-1,12028,정,경기도 남양주시 수동면 지둔리 278-1,127.29805896401724,37.72256225116866
무안실버타운,"요양원,요양센터",전남 무안군 무안읍 무안로 322-18,성남리 489-1,58531,정,전라남도 무안군 무안읍 성남리 489-1,126.46684587827355,34.975448620327676
시니어실버타운,"요양원,요양센터",서울 금천구 독산로 217 4층,독산동 1037-57,08617,정,서울특별시 금천구 독산동 1037-57,126.90153797280655,37.466146853052635
므두셀라 실버센터,"요양원,요양센터",서울 광진구 능동로 360 성곡빌딩,중곡동 41-16,04921,정,서울특별시 광진구 중곡동 41-16,127.08206807997315,37.56135030845058
동방실버타운요양원,"요양원,요양센터",경북 경산시 하양읍 금호강변로 660,금락리 375-40,38698,정,경상북도 경산시 하양읍 금락리 375-40,128.80734013460236,35.89819338964549
실버빌타운,주택,서울 송파구 위례성대로16길 18 실버타운,방이동 191-6 실버타운,05637,정,서울특별시 송파구 방이동 191-6,127.124309362739,37.51135618858436
에벤에셀요양원실버타운,"요양원,요양센터",경남 합천군 야로면 가야산로 728,월광리 245,50204,정,경상남도 합천군 야로면 월광리 245,128.15607874949717,35.73512817889022
작은예수회실버타운,종교,경기 가평군 조종면 연인산로474번길 140-35,마일리 102-11,12433,정,경기도 가평군 조종면 마일리 102-11,127.39039645514475,37.84294379511271
사랑샘실버타운,"요양원,요양센터",대전 서구 금평6길 10,흑석동 932,35426,정,대전광역시 서구 흑석동 932,127.34105575489679,36.252486718385384
예승실버타운,"요양원,요양센터",경기 고양시 덕양구 중앙로 628 예일프라자 9층 예승실버타운,화정동 1148-1 예일프라자 9층 예승실버타운,10503,정,경기도 고양시 덕양구 화정동 1148-1,126.828933679725,37.62752273429507
도담실버타운/요양원,"요양원,요양센터",충북 제천시 용두대로29안길 6-1,신월동 1117-4,27158,정,충청북도 제천시 신월동 1117-4,128.1813946443739,37.15315143396318
앞산실버타운,"요양원,요양센터",대구 서구 북비산로 246 앞산실버타운,평리동 670-3 앞산실버타운,41771,정,대구광역시 서구 평리동 670-3,128.5598783278347,35.878988487445234
용.인 실버타운,"요양원,요양센터",경기 용인시 기흥구 중부대로 940,상하동 2,17089,정,경기도 용인시 기흥구 상하동 2,127.15636144967098,37.25003925425701
가족실버타운요양원,"요양원,요양센터",경기 부천시 원미구 길주로363번길 24,춘의동 142-4,14529,정,경기도 부천시 원미구 춘의동 142-4,126.7828941365497,37.50393337933322
대덕실버타운,"요양원,요양센터",대구 남구 대명남로 103,대명동 1021-1,42493,정,대구광역시 남구 대명동 1021-1,128.56944292704796,35.835172961309354
에덴실버타운,"요양원,요양센터",대구 동구 공항로 251 에덴실버타운,지저동 677-2 에덴실버타운,41046,정,대구광역시 동구 지저동 677-2,128.64079884234246,35.896395525220036
마음다해실버타운,"요양원,요양센터",대구 달성군 논공읍 금강로10길 6-8,금포리 1362-2,42974,유,대구광역시 달성군 논공읍 금포리 1360,128.42814073655833,35.773143158062524
행복한실버타운,컨설팅,경기 양주시 장흥면 권율로 512 행복한실버타운,석현리 51-1 행복한실버타운,11519,정,경기도 양주시 장흥면 석현리 51-1,126.96835225292958,37.75035021319931
동호요양실버타운,"요양원,요양센터",경북 포항시 남구 호미곶면 해맞이로125번길 287,대보리 산136,37928,정,경상북도 포항시 남구 호미곶면 대보리 산 136,129.55460185261603,36.05408987299158
포은실버타운,"요양원,요양센터",경북 영천시 임고면 효자로 241-18,항리 506-9,38819,유,경상북도 청송군 주왕산면 항리 378,129.24272686954413,36.32719759414089
장수효실버타운,"요양원,요양센터",경북 영주시 장수면 장수로255번길 27,반구리 228,36145,정,경상북도 영주시 장수면 반구리 228,128.5880949270834,36.7873093481539
베아투스 실버타운,"요양원,요양센터",경기 고양시 일산동구 고봉로770번길 112-11,설문동 756-52,10251,정,경기도 고양시 일산동구 설문동 756-52,126.79239363819231,37.71958745316804
푸른마을 실버타운,"요양원,요양센터",인천 강화군 강화읍 갑룡길206번길 55,용정리 865-2,23023,정,전북특별자치도 정읍시 소성면 용정리 865-2,126.77558468088259,35.54017705356896
다사랑실버타운,"요양원,요양센터",대구 동구 신암로14길 3,신암동 1289-20,41205,정,대구광역시 동구 신암동 1289-20,128.60864329045233,35.87784132772377
"백년사랑실버타운 요양원,주간보호","요양원,요양센터",경북 경산시 남산면 서원길 58-12 백년사랑실버타운,사월리 202 백년사랑실버타운,38572,정,경상북도 경산시 남산면 사월리 202,128.83228718118963,35.78999360481865
연광실버타운,"요양원,요양센터",대전 서구 영골길 151,오동 277,35424,정,대전광역시 서구 오동 277,127.31327332366705,36.226075092522784
햇살실버타운,"요양원,요양센터",인천 강화군 강화읍 국화길 21,국화리 100,23028,정,경기도 화성시 우정읍 국화리 100,126.55456969578105,37.0596448298621
대한실버타운,"요양원,요양센터",대구 달성군 다사읍 달구벌대로 864 . 5층,죽곡리 117-3,42918,정,대구광역시 달성군 다사읍 죽곡리 117-3,128.4640555968596,35.85879890601741
은혜실버타운,"요양원,요양센터",경기 고양시 덕양구 고양대로 1387 성원코아쇼핑센타 6층,성사동 704-4,10464,정,경기도 고양시 덕양구 성사동 704-4,126.83834877143181,37.65454250634338
다사실버타운,"요양원,요양센터",대구 달성군 다사읍 죽곡1길 16-8 다사실버타운,죽곡리 192 다사실버타운,,정,경상남도 김해시 진영읍 죽곡리 192,128.76878460513225,35.27874204101067
김.포 실버타운,"요양원,요양센터",경기 김포시 김포대로 2529,월곶면 갈산리 465-1,10023,정,경기도 김포시 월곶면 갈산리 465-1,126.56923120830022,37.70119536899719
대운실버타운,"요양원,요양센터",대구 달서구 중흥로16길 65,송현동 1990,42819,정,대구광역시 달서구 송현동 1990,128.55648101450157,35.8266115836516
마루실버타운,"요양원,요양센터",경북 김천시 아포읍 금계길 43-18 마루실버타운,송천리 691-3 마루실버타운,39676,정,경상북도 영천시 청통면 송천리 691-3,128.80515615834636,35.984921922234406
해맞이실버타운,"요양원,요양센터",경북 영덕군 영덕읍 매정길 88,매정리,36424,대,전북특별자치도 정읍시 옹동면 매정리,126.96224662529887,35.638009260063946
사랑행복실버타운,"요양원,요양센터",경기 군포시 용호1로2번길 19 대림프라자 3충,당동 966-12 대림프라자 3층,15871,정,경기도 군포시 당동 966-12,126.93975484401157,37.34476407941027
경산제일실버타운,"요양원,요양센터",경북 경산시 압량읍 부적길 79,부적리 783,38508,정,경상북도 경산시 압량읍 부적리 783,128.76210858820986,35.8464943302834
우주실버타운,기업,인천 옹진군 영흥면 영흥남로 15-20,외리 68-222,23121,정,인천광역시 옹진군 영흥면 외리 68-222,126.47567789360572,37.25074784515801
희망실버타운,"요양원,요양센터",경북 상주시 사벌국면 배목길 138-22,덕담리 926-1,37127,정,경상북도 상주시 사벌국면 덕담리 926-1,128.19854883996078,36.47150349189229
다사효실버타운,"요양원,요양센터",대구 달성군 다사읍 달구벌대로92길 18,문산리 59-4,,정,대구광역시 달성군 다사읍 문산리 59-4,128.43440717232804,35.856659410811126
에덴실버타운,"요양원,요양센터",경기 고양시 덕양구 중앙로557번길 8-9 M&G프라자,행신동 998 앰앤지프라자 2층 전관,10518,정,경기도 고양시 덕양구 행신동 998,126.83442026474863,37.62338732329705
흰돌실버타운102동,병원부속시설,부산 수영구 연수로260번길 53,망미동 774-283,48239,정,부산광역시 수영구 망미동 774-283,129.0988476527567,35.17065686521251
포도나무실버타운,"요양원,요양센터",충남 보령시 오천면 원산도3길 215 포도나무실버타운,원산도리 692,,정,충청남도 보령시 오천면 원산도리 692,126.43157459304815,36.374408819973574
